Replicate,Bee,Species,Colonization,Native,Colony_count,Dilution
3,1,Apis,ESL0251,Bombus,34,3
3,2,Apis,ESL0251,Bombus,26,2
3,3,Apis,ESL0251,Bombus,33,3
3,4,Apis,ESL0251,Bombus,10,2
3,5,Apis,ESL0251,Bombus,1,0
3,6,Apis,ESL0251,Bombus,20,2
3,7,Apis,ESL0251,Bombus,60,1
3,8,Apis,ESL0251,Bombus,1,0
3,9,Apis,ESL0251,Bombus,24,3
3,10,Apis,ESL0251,Bombus,65,2
3,12,Apis,ESL0251,Bombus,44,2
4,1,Apis,ESL0251,Bombus,4,0
4,2,Apis,ESL0251,Bombus,29,2
4,3,Apis,ESL0251,Bombus,12,1
4,4,Apis,ESL0251,Bombus,28,2
4,5,Apis,ESL0251,Bombus,14,3
4,6,Apis,ESL0251,Bombus,43,1
4,7,Apis,ESL0251,Bombus,32,2
4,8,Apis,ESL0251,Bombus,40,1
4,9,Apis,ESL0251,Bombus,8,1
4,10,Apis,ESL0251,Bombus,6,0
4,11,Apis,ESL0251,Bombus,59,2
4,12,Apis,ESL0251,Bombus,15,1
3,1,Apis,ESL0304,Apis,72,3
3,2,Apis,ESL0304,Apis,17,2
3,3,Apis,ESL0304,Apis,76,3
3,4,Apis,ESL0304,Apis,88,3
3,5,Apis,ESL0304,Apis,23,3
3,6,Apis,ESL0304,Apis,73,3
3,7,Apis,ESL0304,Apis,25,3
3,8,Apis,ESL0304,Apis,32,3
3,9,Apis,ESL0304,Apis,31,3
3,10,Apis,ESL0304,Apis,15,4
3,11,Apis,ESL0304,Apis,24,3
3,12,Apis,ESL0304,Apis,28,3
4,2,Apis,ESL0304,Apis,42,2
4,5,Apis,ESL0304,Apis,5,2
4,6,Apis,ESL0304,Apis,51,2
4,7,Apis,ESL0304,Apis,12,3
4,8,Apis,ESL0304,Apis,82,3
4,9,Apis,ESL0304,Apis,33,3
4,10,Apis,ESL0304,Apis,47,2
4,11,Apis,ESL0304,Apis,21,3
4,12,Apis,ESL0304,Apis,40,3
3,1,Apis,ESL0323,Apis,34,2
3,2,Apis,ESL0323,Apis,54,2
3,3,Apis,ESL0323,Apis,60,3
3,4,Apis,ESL0323,Apis,46,2
3,5,Apis,ESL0323,Apis,21,2
3,6,Apis,ESL0323,Apis,47,2
3,7,Apis,ESL0323,Apis,41,2
3,8,Apis,ESL0323,Apis,62,2
3,9,Apis,ESL0323,Apis,42,2
3,10,Apis,ESL0323,Apis,28,2
3,11,Apis,ESL0323,Apis,42,2
3,12,Apis,ESL0323,Apis,39,2
4,1,Apis,ESL0323,Apis,23,2
4,2,Apis,ESL0323,Apis,38,2
4,3,Apis,ESL0323,Apis,20,2
4,4,Apis,ESL0323,Apis,73,1
4,5,Apis,ESL0323,Apis,25,2
4,6,Apis,ESL0323,Apis,31,2
4,7,Apis,ESL0323,Apis,10,2
4,8,Apis,ESL0323,Apis,22,2
4,9,Apis,ESL0323,Apis,175,1
4,10,Apis,ESL0323,Apis,150,1
4,11,Apis,ESL0323,Apis,19,3
4,12,Apis,ESL0323,Apis,11,3
3,1,Apis,ESL0897,Bombus,44,0
3,2,Apis,ESL0897,Bombus,32,2
3,3,Apis,ESL0897,Bombus,1,0
3,4,Apis,ESL0897,Bombus,31,0
3,5,Apis,ESL0897,Bombus,1,0
3,6,Apis,ESL0897,Bombus,1,0
3,7,Apis,ESL0897,Bombus,1,0
3,8,Apis,ESL0897,Bombus,67,0
3,9,Apis,ESL0897,Bombus,43,2
3,10,Apis,ESL0897,Bombus,1,0
3,11,Apis,ESL0897,Bombus,1,0
3,12,Apis,ESL0897,Bombus,1,0
4,1,Apis,ESL0897,Bombus,54,2
4,2,Apis,ESL0897,Bombus,1,0
4,3,Apis,ESL0897,Bombus,1,0
4,4,Apis,ESL0897,Bombus,1,0
4,8,Apis,ESL0897,Bombus,3,1
4,9,Apis,ESL0897,Bombus,23,1
4,10,Apis,ESL0897,Bombus,42,1
4,11,Apis,ESL0897,Bombus,1,0
4,12,Apis,ESL0897,Bombus,13,1
3,1,Apis,MD,None,1,0
3,2,Apis,MD,None,1,0
3,3,Apis,MD,None,1,0
3,4,Apis,MD,None,1,0
3,5,Apis,MD,None,1,0
3,6,Apis,MD,None,1,0
3,7,Apis,MD,None,1,0
3,8,Apis,MD,None,1,0
3,9,Apis,MD,None,1,0
3,10,Apis,MD,None,1,0
3,11,Apis,MD,None,1,0
3,12,Apis,MD,None,1,0
4,1,Apis,MD,None,1,0
4,2,Apis,MD,None,1,0
4,3,Apis,MD,None,1,0
4,4,Apis,MD,None,1,0
4,5,Apis,MD,None,1,0
4,6,Apis,MD,None,1,0
4,7,Apis,MD,None,1,0
4,8,Apis,MD,None,1,0
4,9,Apis,MD,None,1,0
4,10,Apis,MD,None,1,0
4,11,Apis,MD,None,1,0
4,12,Apis,MD,None,1,0
3,1,Apis,wkb2,Apis,26,3
3,2,Apis,wkb2,Apis,19,3
3,3,Apis,wkb2,Apis,24,3
3,4,Apis,wkb2,Apis,94,2
3,5,Apis,wkb2,Apis,17,3
3,6,Apis,wkb2,Apis,43,2
3,7,Apis,wkb2,Apis,62,3
3,8,Apis,wkb2,Apis,21,3
3,9,Apis,wkb2,Apis,43,2
3,10,Apis,wkb2,Apis,23,4
3,11,Apis,wkb2,Apis,52,3
3,12,Apis,wkb2,Apis,22,3
4,1,Apis,wkb2,Apis,23,1
4,2,Apis,wkb2,Apis,17,2
4,3,Apis,wkb2,Apis,16,3
4,4,Apis,wkb2,Apis,98,3
4,5,Apis,wkb2,Apis,27,3
4,6,Apis,wkb2,Apis,11,3
4,7,Apis,wkb2,Apis,63,2
4,8,Apis,wkb2,Apis,11,3
4,9,Apis,wkb2,Apis,21,3
4,10,Apis,wkb2,Apis,125,2
4,11,Apis,wkb2,Apis,24,3
4,12,Apis,wkb2,Apis,55,2
