Type,Date_Smet,Nle_Resp,Sample,Condition,Extraction,Smet_Batch,Nle_med,Nle_norm,LB_Nle,UB_Nle,Decision_Nle,Date_SCFA,Ival_Resp,SCFA_Batch,Ival_med,Ival_norm,LB_Ival,UB_Ival,Decision_Ival
Cal,2020-02-20T14:22:00Z,19688,SUGAR_CAL1_J,J,L,A,19176,1.026700042,-9530.374149,47882.37415,ok,NA,NA,NA,NA,NA,NA,NA,NA
Cal,2020-02-20T14:59:00Z,24356,SUGAR_CAL2_I,I,L,A,19176,1.270129328,-9530.374149,47882.37415,ok,NA,NA,NA,NA,NA,NA,NA,NA
Cal,2020-02-20T15:35:00Z,26380,SUGAR_CAL3_H,Gi_P,L,A,19176,1.375677931,-9530.374149,47882.37415,ok,NA,NA,NA,NA,NA,NA,NA,NA
Cal,2020-02-20T16:24:00Z,20840,SUGAR_CAL4_F,Sn_Gi_P,L,A,19176,1.086775136,-9530.374149,47882.37415,ok,NA,NA,NA,NA,NA,NA,NA,NA
Cal,2020-02-20T17:00:00Z,29336,SUGAR_CAL5_E,Sn_Gi_SW,L,A,19176,1.529828953,-9530.374149,47882.37415,ok,NA,NA,NA,NA,NA,NA,NA,NA
Cal,2020-02-20T17:37:00Z,32784,SUGAR_CAL6_D,Sn_P,L,A,19176,1.709637046,-9530.374149,47882.37415,ok,NA,NA,NA,NA,NA,NA,NA,NA
Cal,2020-02-27T02:17:00Z,53020,SUGAR_CAL7_C,Sn_SW,L,C,151751,0.349388142,-70597.32325,374099.3232,ok,NA,NA,NA,NA,NA,NA,NA,NA
Cal,2020-02-27T02:53:00Z,29372,SUGAR_CAL8_D,Sn_P,L,C,151751,0.193553914,-70597.32325,374099.3232,ok,NA,NA,NA,NA,NA,NA,NA,NA
Cal,2020-02-27T18:59:00Z,215509,SUGAR_CAL9_I,I,L,D,197124,1.093266167,105144.1544,289103.8456,ok,NA,NA,NA,NA,NA,NA,NA,NA
Cal,2020-02-27T20:59:00Z,238404,SUGAR_CAL9_G,Gi_SW,L,D,197124,1.209411335,105144.1544,289103.8456,ok,NA,NA,NA,NA,NA,NA,NA,NA
Cal,2020-02-27T22:59:00Z,194583,SUGAR_CAL9_H,Gi_P,L,D,197124,0.987109637,105144.1544,289103.8456,ok,NA,NA,NA,NA,NA,NA,NA,NA
Cal,2020-03-06T17:40:00Z,162787,SUGAR_CAL10_B,MD_P,L,F,160889.5,1.011793809,23057.37208,298721.6279,ok,NA,NA,NA,NA,NA,NA,NA,NA
Cal,2020-03-07T01:40:00Z,127068,SUGAR_CAL11_C,Sn_SW,L,F,160889.5,0.789784293,23057.37208,298721.6279,ok,NA,NA,NA,NA,NA,NA,NA,NA
Cal,2020-03-10T17:12:00Z,165362,SUGAR_CAL12_D,Sn_P,L,G,181027,0.913465947,72197.26832,289856.7317,ok,NA,NA,NA,NA,NA,NA,NA,NA
Cal,2020-03-11T00:50:00Z,147253,SUGAR_CAL13_E,Sn_Gi_SW,L,G,181027,0.813431146,72197.26832,289856.7317,ok,NA,NA,NA,NA,NA,NA,NA,NA
CC,2020-03-11T10:49:00Z,183197,MIX_A-H-PE-STD_E-2,-,_,G,181027,1.011987162,72197.26832,289856.7317,ok,NA,NA,NA,NA,NA,NA,NA,NA
PE,2020-02-20T12:59:00Z,41236,QC2_PE10,PE,_,A,19176,2.150396329,-9530.374149,47882.37415,ok,NA,NA,NA,NA,NA,NA,NA,NA
PE,2020-02-27T03:29:00Z,211678,QC4_PE10,PE,_,C,151751,1.394903493,-70597.32325,374099.3232,ok,NA,NA,NA,NA,NA,NA,NA,NA
PE,2020-02-28T00:59:00Z,246080,QC5_PE10,PE,_,D,197124,1.248351292,105144.1544,289103.8456,ok,NA,NA,NA,NA,NA,NA,NA,NA
PE,2020-03-06T21:40:00Z,278819,QC6_PE_10,PE,P,F,160889.5,1.73298444,23057.37208,298721.6279,ok,NA,NA,NA,NA,NA,NA,NA,NA
PE,2020-03-10T21:01:00Z,135825,QC7_PE_10,PE,P,G,181027,0.750302441,72197.26832,289856.7317,ok,NA,NA,NA,NA,NA,NA,NA,NA
PE,2020-03-12T20:55:00Z,176309,QC8_PE10,PE,_,H,174524,1.01022782,124039.9046,225008.0954,ok,NA,NA,NA,NA,NA,NA,NA,NA
PE,2020-05-05T13:07:00Z,415,QC9_PE10,PE,_,I,199835,1,90073.64582,309596.3542,error,NA,NA,NA,NA,NA,NA,NA,NA
PE,NA,NA,QC_1,PE,NA,NA,NA,NA,NA,NA,NA,2020-02-12T14:20:00Z,38358,B,45441.5,0.844118262,32950.88922,57932.11078,ok
PE,NA,NA,QC2,PE,NA,NA,NA,NA,NA,NA,NA,2020-02-13T18:52:00Z,36342,C,41152,0.883116252,24435.09274,57868.90726,ok
PE,NA,NA,QC3,PE,NA,NA,NA,NA,NA,NA,NA,2020-02-14T13:20:00Z,39881,D,39881,1,34385.72012,45376.27988,ok
PE,NA,NA,QC4,PE,NA,NA,NA,NA,NA,NA,NA,2020-02-17T21:48:00Z,49721,E,54413,0.913770606,42317.70942,66508.29058,ok
Sample,2020-02-20T09:25:00Z,50604,A4ED3,Sn_P,A,A,19176,1,-9530.374149,47882.37415,error,2020-02-11T20:52:00Z,45407,A,44980,1.009493108,36457.18005,53502.81995,ok
Sample,2020-02-20T10:22:00Z,38112,A1EC8,Sn_SW,A,A,19176,1.987484355,-9530.374149,47882.37415,ok,2020-02-11T20:00:00Z,36257,A,44980,1,36457.18005,53502.81995,error
Sample,2020-02-20T10:58:00Z,41732,A2DG2,Gi_SW,A,A,19176,2.176261994,-9530.374149,47882.37415,ok,2020-02-11T20:17:00Z,48042,A,44980,1.0680747,36457.18005,53502.81995,ok
Sample,2020-02-20T11:34:00Z,18664,A3EG6,Gi_SW,A,A,19176,0.973299958,-9530.374149,47882.37415,ok,2020-02-11T20:35:00Z,44553,A,44980,0.990506892,36457.18005,53502.81995,ok
Sample,2020-02-20T19:02:00Z,4228,A6FC5,Sn_SW,A,A,19176,0.220483938,-9530.374149,47882.37415,ok,2020-02-11T21:26:00Z,47628,A,44980,1.058870609,36457.18005,53502.81995,ok
Sample,2020-02-20T19:38:00Z,2820,A7EG1,Gi_SW,A,A,19176,0.147058824,-9530.374149,47882.37415,ok,2020-02-11T21:56:00Z,38041,A,44980,0.845731436,36457.18005,53502.81995,ok
Sample,2020-02-20T20:27:00Z,1664,A8FE1,Sn_Gi_SW,A,A,19176,0.086775136,-9530.374149,47882.37415,ok,2020-02-11T22:13:00Z,40335,A,44980,0.896731881,36457.18005,53502.81995,ok
Sample,2020-02-20T21:03:00Z,3604,A9DG8,Gi_SW,A,A,19176,0.187943262,-9530.374149,47882.37415,ok,2020-02-11T22:31:00Z,41203,A,44980,0.916029346,36457.18005,53502.81995,ok
Sample,2020-02-20T22:28:00Z,9564,A11EF5,Sn_Gi_P,A,A,19176,0.498748436,-9530.374149,47882.37415,ok,2020-02-11T23:05:00Z,49481,A,44980,1.100066696,36457.18005,53502.81995,ok
Sample,2020-02-20T23:05:00Z,32468,A12FF5,Sn_Gi_P,A,A,19176,1.693158114,-9530.374149,47882.37415,ok,2020-02-11T23:22:00Z,46224,A,44980,1.027656736,36457.18005,53502.81995,ok
Sample,2020-02-20T23:41:00Z,27276,A13FG1,Gi_SW,A,A,19176,1.422403004,-9530.374149,47882.37415,ok,2020-02-12T12:43:00Z,33976,B,45441.5,0.747686586,32950.88922,57932.11078,ok
Sample,2020-02-21T00:30:00Z,5912,A14EE6,Sn_Gi_SW,A,A,19176,0.308302044,-9530.374149,47882.37415,ok,2020-02-12T13:01:00Z,34507,B,45441.5,0.75937194,32950.88922,57932.11078,ok
Sample,2020-02-21T02:31:00Z,2336,A17DA6,MD_SW,A,A,19176,0.12181894,-9530.374149,47882.37415,ok,2020-02-12T19:08:00Z,49563,B,45441.5,1.090699031,32950.88922,57932.11078,ok
Sample,2020-02-21T03:07:00Z,16544,A18DB9,MD_P,A,A,19176,0.862745098,-9530.374149,47882.37415,ok,2020-02-12T19:26:00Z,46904,B,45441.5,1.032184237,32950.88922,57932.11078,ok
Sample,2020-02-21T03:44:00Z,15868,A19FG6,Gi_SW,A,A,19176,0.827492699,-9530.374149,47882.37415,ok,2020-02-12T19:43:00Z,44721,B,45441.5,0.984144449,32950.88922,57932.11078,ok
Sample,2020-02-21T05:45:00Z,1964,A5EA4,MD_SW,A,A,19176,0.102419691,-9530.374149,47882.37415,ok,2020-02-11T21:09:00Z,47717,A,44980,1.060849266,36457.18005,53502.81995,ok
Sample,2020-02-24T13:33:00Z,5584,A20FD6,Sn_P,A,A,19176,0.29119733,-9530.374149,47882.37415,ok,2020-02-12T20:01:00Z,46162,B,45441.5,1.015855551,32950.88922,57932.11078,ok
Sample,2020-02-24T14:09:00Z,17344,A21DH3,Gi_P,A,A,19176,0.904463913,-9530.374149,47882.37415,ok,2020-02-12T20:19:00Z,48193,B,45441.5,1.060550378,32950.88922,57932.11078,ok
Sample,2020-02-24T21:01:00Z,101472,A22DH7,Gi_P,A,B,121576,0.834638415,96308.19818,146843.8018,ok,2020-02-13T13:24:00Z,47486,C,41152,1.153917185,24435.09274,57868.90726,ok
Sample,2020-02-24T21:50:00Z,130064,A23EB2,MD_P,A,B,121576,1.069816411,96308.19818,146843.8018,ok,2020-02-13T13:42:00Z,47237,C,41152,1.147866446,24435.09274,57868.90726,ok
Sample,2020-02-24T22:26:00Z,30184,A24FH9,Gi_P,A,A,19176,1.574050897,-9530.374149,47882.37415,ok,2020-02-13T14:00:00Z,56439,C,41152,1.371476477,24435.09274,57868.90726,ok
Sample,2020-02-24T23:03:00Z,114884,B1CE7,Sn_Gi_SW,B,B,121576,0.944956241,96308.19818,146843.8018,ok,2020-02-13T14:18:00Z,26633,C,41152,0.647186042,24435.09274,57868.90726,ok
Sample,2020-02-24T23:51:00Z,116920,B2AD6,Sn_P,B,B,121576,0.961702968,96308.19818,146843.8018,ok,2020-02-13T14:35:00Z,61476,C,41152,1,24435.09274,57868.90726,error
Sample,2020-02-25T00:27:00Z,126232,B3CF2,Sn_Gi_P,B,B,121576,1.038297032,96308.19818,146843.8018,ok,2020-02-13T14:53:00Z,61220,C,41152,1,24435.09274,57868.90726,error
Sample,2020-02-25T01:04:00Z,136912,B4BB3,MD_P,B,B,121576,1.126143318,96308.19818,146843.8018,ok,2020-02-13T17:22:00Z,38063,C,41152,0.92493682,24435.09274,57868.90726,ok
Sample,2020-02-27T04:53:00Z,54760,B13AA2,MD_SW,B,C,151751,0.360854294,-70597.32325,374099.3232,ok,2020-02-13T22:25:00Z,42163,C,41152,1.024567457,24435.09274,57868.90726,ok
Sample,2020-02-27T05:29:00Z,151751,B14AE3,Sn_Gi_SW,B,C,151751,1,-70597.32325,374099.3232,ok,2020-02-14T00:29:00Z,38642,C,41152,0.93900661,24435.09274,57868.90726,ok
Sample,2020-02-27T06:53:00Z,91518,B16BA1,MD_SW,B,C,151751,0.603080046,-70597.32325,374099.3232,ok,2020-02-14T01:05:00Z,51062,C,41152,1.240814541,24435.09274,57868.90726,ok
Sample,2020-02-27T07:29:00Z,399735,B17AC7,Sn_SW,B,C,151751,1,-70597.32325,374099.3232,error,2020-02-14T01:23:00Z,41433,C,41152,1.006828344,24435.09274,57868.90726,ok
Sample,2020-02-27T08:17:00Z,201483,B18CB5,MD_P,B,C,151751,1.327721069,-70597.32325,374099.3232,ok,2020-02-14T01:41:00Z,39912,C,41152,0.969867807,24435.09274,57868.90726,ok
Sample,2020-02-27T08:53:00Z,261999,C1EB8,MD_P,C,C,151751,1.726505921,-70597.32325,374099.3232,ok,2020-02-14T01:59:00Z,44979,C,41152,1.092996695,24435.09274,57868.90726,ok
Sample,2020-02-27T09:30:00Z,78559,C2EG5,Gi_SW,C,C,151751,0.517683574,-70597.32325,374099.3232,ok,2020-02-14T12:10:00Z,37458,D,39881,0.939244252,34385.72012,45376.27988,ok
Sample,2020-02-27T10:06:00Z,182899,C3EF10,Sn_Gi_P,C,C,151751,1.205257296,-70597.32325,374099.3232,ok,2020-02-14T12:27:00Z,42376,D,39881,1.062561119,34385.72012,45376.27988,ok
Sample,2020-02-27T10:54:00Z,165497,B12BE5,Sn_Gi_SW,B,NA,205429,0.805616539,146038.7578,264819.2422,ok,2020-02-13T22:07:00Z,37192,C,41152,0.903771384,24435.09274,57868.90726,ok
Sample,2020-02-27T14:58:00Z,218118,B5AB5,MD_P,B,D,197124,1.106501491,105144.1544,289103.8456,ok,2020-02-13T17:40:00Z,43474,C,41152,1.056424961,24435.09274,57868.90726,ok
Sample,2020-02-27T15:35:00Z,235764,B6CC10,Sn_SW,B,D,197124,1.19601875,105144.1544,289103.8456,ok,2020-02-13T17:58:00Z,39553,C,41152,0.961144051,24435.09274,57868.90726,ok
Sample,2020-02-27T16:11:00Z,202977,B7BD6,Sn_P,B,D,197124,1.029691971,105144.1544,289103.8456,ok,2020-02-13T20:56:00Z,38151,C,41152,0.927075233,24435.09274,57868.90726,ok
Sample,2020-02-27T16:59:00Z,189172,B9CA5,MD_SW,B,D,197124,0.959659909,105144.1544,289103.8456,ok,2020-02-13T21:14:00Z,39122,C,41152,0.950670684,24435.09274,57868.90726,ok
Sample,2020-02-27T17:35:00Z,119142,B10BC2,Sn_SW,B,D,197124,0.604401291,105144.1544,289103.8456,ok,2020-02-13T21:32:00Z,41427,C,41152,1.006682543,24435.09274,57868.90726,ok
Sample,2020-02-27T18:11:00Z,230584,B11CD9,Sn_P,B,D,197124,1.169740874,105144.1544,289103.8456,ok,2020-02-13T21:50:00Z,40877,C,41152,0.993317457,24435.09274,57868.90726,ok
Sample,2020-02-27T19:35:00Z,58201,C4EE5,Sn_Gi_SW,C,D,197124,1,105144.1544,289103.8456,error,2020-02-14T15:53:00Z,38848,D,39881,0.974097941,34385.72012,45376.27988,ok
Sample,2020-02-27T20:11:00Z,187510,C5ED5,Sn_P,C,D,197124,0.951228668,105144.1544,289103.8456,ok,2020-02-14T16:10:00Z,43201,D,39881,1.083247662,34385.72012,45376.27988,ok
Sample,2020-02-27T21:35:00Z,165176,C6EC7,Sn_SW,C,D,197124,0.837929425,105144.1544,289103.8456,ok,2020-02-14T16:28:00Z,35508,D,39881,0.890348788,34385.72012,45376.27988,ok
Sample,2020-02-27T22:11:00Z,199665,C7EA2,MD_SW,C,D,197124,1.012890363,105144.1544,289103.8456,ok,2020-02-14T16:46:00Z,41368,D,39881,1.037285926,34385.72012,45376.27988,ok
Sample,2020-02-27T23:35:00Z,177830,C8EH15,Gi_P,C,D,197124,0.902122522,105144.1544,289103.8456,ok,2020-02-14T17:03:00Z,35803,D,39881,0.897745794,34385.72012,45376.27988,ok
Sample,2020-02-28T00:12:00Z,234021,C9ED7,Sn_P,C,D,197124,1.1871766,105144.1544,289103.8456,ok,2020-02-14T17:21:00Z,40310,D,39881,1.010757002,34385.72012,45376.27988,ok
Sample,2020-02-28T01:35:00Z,180016,C10EA6,MD_SW,C,D,197124,0.913211988,105144.1544,289103.8456,ok,2020-02-17T12:55:00Z,49732,E,54413,0.913972764,42317.70942,66508.29058,ok
Sample,2020-02-28T02:12:00Z,187707,C11EE1,Sn_Gi_SW,C,D,197124,0.952228039,105144.1544,289103.8456,ok,2020-02-17T13:13:00Z,58844,E,54413,1.081432746,42317.70942,66508.29058,ok
Sample,2020-03-05T20:46:00Z,209217,C12EG9,Gi_SW,C,E,226718,0.922807188,187308.089,266127.911,ok,2020-02-17T13:30:00Z,54972,E,54413,1.01027328,42317.70942,66508.29058,ok
