"","(Intercept)","FoodP","Sn1","Gi1","Pr(Chi).Food","Pr(Chi).Sn","Pr(Chi).Gi"
"X1",-0.618147967883869,1.32392921365089,0.174355323170707,-0.22426930060949,9.48939232974063e-15,0.248361647180235,0.133763047145778
"X2",0.53892631071254,-0.191038276637744,-0.0673365942491422,-0.0934236477895394,0.265642942378722,0.757240907568974,0.586441125132984
"X3",0.261192498763405,-0.552893502026975,-0.188001680474829,0.185357820251191,0.0054212060820503,0.335643451321328,0.34281168632608
"X4",-0.360991244428093,0.908581282361138,-0.0796924386423458,-0.136001230797393,1.58776999343292e-06,0.925929647705614,0.52143496516911
"X5",0.254397496607749,-0.0611496081026756,0.199719975000927,-0.166159883823713,0.735447480451314,0.336723877083251,0.375412977751901
"X6",-0.391641038481087,0.439345693294836,0.0187615556369728,0.245340322210693,0.0275953127475539,0.829863968942145,0.202325414407701
"X7",-0.42364230468692,0.80234518336456,-0.0727275717215423,0.0938776974547451,3.17524856634551e-05,0.96639252426821,0.546613671383806
"X8",0.154913168995391,0.68368096742829,0.0171819797014102,-0.944879487085156,2.50073556862047e-05,0.886807642609975,5.82861664202535e-08
"X9",-0.865186168559178,0.579798968447525,0.229772960914858,0.83312108763846,0.00110771060599145,0.194015161791109,6.76690339750111e-06
"X10",-0.502042818502411,0.930091211698342,-0.290712337091354,0.365652790516152,6.12281927877002e-07,0.0979895185803768,0.0406134943883549
"X11",-0.396480284979928,1.04110564281545,-0.0570458950150838,-0.199522254550368,2.08430206032681e-08,0.968893068566948,0.299447549348789
"X12",0.211056015993939,0.592157506710676,-0.76302984116225,-0.243803882693036,0.00107372550746829,0.000121260263785199,0.168395312085656
"X13",0.218508032868042,-0.0612657588901039,0.180192353559969,-0.169124276819677,0.737215643217701,0.382322479059634,0.365945799917855
"X14",-0.536667017581558,1.16257699426014,0.0634190428265394,-0.134709078942336,5.57986551273374e-11,0.690970946386997,0.415677289803058
"X15",-0.366935558538139,0.877671683189712,-0.0127961286511631,-0.0985079489530014,5.81797557458271e-06,0.944331408208325,0.591445585680497
"X16",-0.610229806437362,1.0610221078128,0.214318189834855,-0.106545518599733,1.18702526823976e-08,0.206438271558456,0.668158361167109
"X17",-0.65639487770834,1.19922676068583,0.322994919047358,-0.153293677708687,2.96955806963643e-11,0.0479848300813479,0.339121013502794
"X18",-0.596348987549238,1.04662165419514,0.144927301242676,0.0368380373407581,3.15694315835435e-08,0.406176371662107,0.832625773558431
"X19",0.300556427890312,0.560920696736769,-0.977652425690997,-0.187664022353703,0.00103061966033584,6.23623176325088e-08,0.260455076461671
"X20",-0.463470441625595,0.733252740713258,0.232073903363742,-0.0836647959150408,0.000169150132571913,0.207202346837792,0.794978842126677
"X21",-0.599236638203066,0.990928284899073,0.126742872345396,0.110292147920914,2.10056654177895e-07,0.475937209648528,0.535216138979403
"X22",-0.647607483950963,1.17097332055013,0.222671415601464,-0.0516989377526394,1.89812519790523e-10,0.178196144873523,0.753699261029748
"X23",-0.248598529691006,0.497005429313013,0.0438717402341797,-0.209822281388664,0.0101956159791349,0.784957841010173,0.320279342234701
"X24",-0.580861299922335,1.11307545876628,-0.137017536133281,0.154268695237987,2.27589443670643e-09,0.534394758786135,0.327123252009402
"X25",-0.516854819970451,1.09235106733424,0.126570880234627,-0.152050860569515,9.61268521305027e-10,0.479961973017622,0.36588472258024
"X26",-0.786399647539998,1.19308747310748,0.152251546340153,0.256447432434177,6.86612030105836e-11,0.35087934089815,0.117904600190744
"X27",-0.133951026690083,0.171392041209492,-0.268390343430272,0.304827161198987,0.392525206284653,0.316667658331472,0.116143700523309
"X28",-0.150704341252311,0.386895873686759,0.009343861415561,0.0293833349788379,0.041133498496364,0.961916377528861,0.912281187975804
"X29",-0.589466145780492,1.24535729759096,0.0102389914212133,-0.0373076266294884,4.13005146500439e-12,0.811865804196677,0.774818102522655
"X30",-0.442116492724663,1.01514389510915,-0.179654779522354,-0.0508880011726155,4.23400868342514e-08,0.480966621528713,0.843235647534317
"X31",0.297964628996379,0.466748745410937,-0.150389168097318,-0.857183606221649,0.00950744107560747,0.395906823225635,4.65822524605273e-06
"X32",0.270209791327326,0.515157436852123,-0.159983889708724,-0.840158266893848,0.00419002114729032,0.364492220240064,6.31569527886477e-06
"X33",-0.924726766798994,0.539765653214264,0.088491686959726,1.17898410395802,0.000903038412798198,0.575580442546567,6.59755838172329e-11
"X34",-0.357828408865944,1.11930292061841,0.0223637488516975,-0.485524665356955,3.77607154656859e-10,0.826791819722786,0.00886517642048909
"X35",-0.149369970414769,0.873560893985525,-0.00178188792033656,-0.495025752145036,1.51648929332997e-06,0.868596926883779,0.00535871749552346
"X36",-0.520929351866626,1.1057812619925,-0.0569336534215563,-0.152823451166611,1.07566302982777e-09,0.820621061702255,0.408544181063187
"X37",-0.78984318238636,1.28865829835086,0.318373974375856,0.0258517316789899,3.19665065481257e-13,0.0437977731587568,0.907381093153737
"X38",-0.187236483827499,0.654494439524226,0.199518752264803,-0.42691615537662,0.00062223560688784,0.271138113523456,0.0224546407793279
"X39",-0.103261031451548,0.958468837176785,-0.08381911285469,-0.608481786618386,9.05554552352797e-08,0.613907459404175,0.000397229838395299
"X40",-0.0362092688163356,0.582199960743419,-0.930601055177312,0.296344012480658,0.000826708947628295,5.13276668297005e-06,0.0831786847965556
"X41",-0.133014435981092,0.554743937938023,-0.34444518885421,0.0751338247690543,0.00408998145867279,0.121654942459769,0.727034638667499
"X42",-0.797744789430928,0.60742365533024,1.20599630400513,-0.155732891005965,0.000114056403172711,5.10674801167776e-11,0.311384588706992
"X43",-0.197412419225271,1.04549676214305,-0.225248129956645,-0.379545145083479,9.25001083711211e-09,0.178078540239722,0.0245684851380638
"X44",-0.424212500250334,1.10973915538305,-0.113950128536419,-0.0690632607727918,4.73916467450678e-10,0.533518967053959,0.661370596639451
"X45",0.0529363271234143,0.906330336840084,-0.360406440957058,-0.591853175030244,2.05519103502564e-07,0.0415876840078612,0.000520238436244043
"X46",-0.821186420546883,0.520709516910661,0.40345402084965,0.710023744299591,0.00497992840734034,0.0398946625355275,0.000176130750143746
"X47",-0.339946534891604,0.715627260155183,0.0900748719307265,-0.138972851394048,0.000300710666492469,0.537523636900806,0.562373307027781
"X48",-0.448283093985486,1.08204293994779,0.0835704458730766,-0.277202284945625,5.2703601589e-09,0.544281826719299,0.156980903385697
"X49",-0.0704075452736486,0.821824297951362,-0.566622672788463,-0.101011159129935,8.73454225351428e-06,0.00222529331268384,0.565105659667774
"X50",0.438166679021521,0.303684651896204,-0.603980848418687,-0.556244189340206,0.101021760679484,0.00138947714594179,0.00313945310737083
"X51",-0.474355961281786,1.18818928469804,-0.0315098512449894,-0.185861212562452,3.26475021658723e-11,0.969549171742919,0.255763428587939
"X52",0.109361395196827,0.793193967973113,0.0177607763363167,-0.962183576909032,1.06341097749809e-06,0.876895391903324,1.72442294178176e-08
"X53",0.273383434807963,0.00239336968935076,0.1367495727302,-0.186365540169048,0.996541588428383,0.50054917024277,0.317809809286894
"X54",-0.225767577979009,0.875821587120796,-0.041173860016199,-0.278702498186624,1.23017984766705e-06,0.827944065277723,0.112537316355521
"X55",-0.286185613256772,0.884687668213224,-0.178787823476217,-0.0910408228635319,3.76958130132773e-06,0.401812695262392,0.55567560351231
"X56",-0.545721303800719,1.19392162902004,0.171753412401474,-0.260865495051844,1.62351887640633e-11,0.259268627091081,0.11513347194692
"X57",-0.350200822084266,0.130037591794899,0.110164573110655,-0.0738017021876234,0.398394767275588,0.526186375647443,0.67561203132413
"X58",-0.321991649780425,0.642236912248564,-0.000521766095304323,-0.17307098423308,0.000739705447371361,0.936519621733658,0.404786049194663
"X59",-0.287742130659625,0.518070536755484,0.0264667520610905,-0.183495067268338,0.0064062681378712,0.855882370808257,0.382579225462956
"X60",-0.272764912440305,0.918593479799567,0.0899257551066064,-0.4095843624771,9.2845373850331e-07,0.608626628004954,0.0214684363556059
"X61",-0.286104296803052,0.930821050712979,-0.107509462765143,-0.26431130187514,5.97757575580491e-07,0.783864520714801,0.152945933764383
"X62",-0.705005678286917,1.32436541760608,0.20507624482924,-0.0675755406953491,7.87451857830601e-14,0.17958173155589,0.656866156088258
"X63",0.113994882519304,-0.386731403516115,0.0321921497100591,0.390364352929256,0.0447040739485526,0.813008823682661,0.0777408535152087
"X64",-0.060264289940108,0.400988980413389,0.270648658149758,-0.50340447659189,0.0380981808850471,0.159035135218341,0.00978776795472243
"X65",-0.0498054500475896,0.365209487380514,0.275942819159454,-0.49522976692635,0.0596601188915137,0.153105435757493,0.0113345942828108
"X66",0.21369039663161,0.678844696228314,-0.739231241480069,-0.35558472769885,0.000156444864448605,0.000474762914424216,0.0450189984222561
"X67",-0.233222616504234,0.859717680032496,-0.0121185006248528,-0.36414387886856,1.91458997327254e-06,0.993314540223412,0.0428575679130197
"X68",0.69505886933887,-0.29157002085538,0.073107647247044,-0.802130577050936,0.0817184012222615,0.706942973519082,1.26017964250531e-05
"X69",-0.250863054862193,1.06572113646494,-0.222105858984338,-0.299486251043988,5.89004743742956e-09,0.185711025682242,0.0756531828873729
"X70",-0.1785789050519,0.484242373579714,-0.0718503055862575,-0.237492508225034,0.0117380950281026,0.794563632796455,0.250144901041453
"X71",-0.514783023629168,0.891774047303617,0.268761482653017,-0.0885119115730529,5.0437220005554e-07,0.146302365368037,0.610282660953883
"X72",-0.105862703314808,0.928110722945827,0.0259896466627866,-0.67663320374179,1.80136839424817e-07,0.875042737707529,8.61921886262206e-05
"X73",-0.317569260511159,1.15232221998779,-0.0949535682591798,-0.377915998658509,1.36360658707286e-10,0.582290462697192,0.0219546146905687
"X74",-0.60319137597254,1.21297794416338,0.237373381133791,-0.188259604925575,1.79270039735885e-11,0.138881700431081,0.239842207562115
"X75",0.37798841362939,0.0938626363939888,-0.0397996373070905,-0.845379032883293,0.609032578306555,0.782742627463345,8.23512146948479e-05
"X76",-0.0579702350131549,0.563805566880527,-0.0107318791570974,-0.414871737014062,0.00318716974043539,0.874064059991038,0.0327322166194311
"X77",0.191804610741342,0.163738853844396,-0.0149837445611199,-0.675249495265667,0.386514334782147,0.973420458372746,0.00190919006462645
"X78",-0.0467244961555546,0.751774400111773,0.0746361684203347,-0.64866634838804,7.88070550672219e-06,0.653669129714636,0.000186271953051464
"X79",-0.0995803927211524,1.009000331382,-0.144873065190959,-0.605794338725572,1.23272411745785e-08,0.372997767943318,0.000313955866260686
"X80",-0.152341555499847,1.00663236649965,-0.416297037997493,-0.253659546772279,3.16715543407801e-08,0.0144467798829236,0.13257598435828
"X81",-0.0468641489332473,-0.276341341477252,0.200190065188886,0.159101057158466,0.100301199788275,0.232267801993751,0.34213297799104
"X82",0.475812518024756,0.561295706982154,-0.942506405623915,-0.530906585766043,0.000617857529330658,2.6767824710642e-06,0.00178082235581452
"X83",-0.787822446293156,1.2219280154893,0.509204548218984,-0.0957793106546253,3.98617282063142e-12,0.00150372855155951,0.535624999219223
"X84",-0.580787505382286,0.889571480745617,0.24646792212533,0.057346070647305,8.94916184418396e-07,0.180893359749717,0.757249154079911
"X85",-0.260982537233893,0.214532995406073,0.0153327673265064,0.186940421158612,0.285847487674305,0.846459163201953,0.328287115430429
"X86",-0.592371734301338,1.1593473917523,0.216402265791871,-0.227938634949842,1.29811204724253e-10,0.16508910078736,0.267145014354023
"X87",-0.11644034632714,-0.1087648109805,0.322336618635899,0.0247505949785992,0.589993598247338,0.112385628085285,0.902410531124951
"X88",-0.376252002308995,0.895208494433602,-0.0669366036031783,-0.133265003254549,2.8287841706133e-06,0.936334897147574,0.590544621705541
"X89",-0.606991066206803,1.32871314291956,0.134468762975061,-0.192844327630127,4.20500880213443e-14,0.371734413325497,0.201522397029996
"X90",0.246467955774028,0.596824942442997,-0.23813719821731,-0.84222924855774,0.000346008261908843,0.200029013374539,2.80389473233958e-06
"X91",-0.577335696719486,1.25043574441468,0.0668152692972973,-0.237774117751109,2.37189737842993e-12,0.638054168825831,0.17456420385271
"X92",-0.670674115358102,1.24464644108209,-0.0137923432889195,0.141895049210678,7.2169862023978e-12,0.931171472983654,0.375564632939401
"X93",-0.194481238169189,0.940487397683839,0.0469334138631293,-0.535821846697132,2.88579779316542e-07,0.529599626824712,0.00186217956712721
"X94",-0.280477299014904,0.817497629092415,0.0822118649010099,-0.309089735454389,9.63570814470391e-07,0.640758299795333,0.0639879214591399
"X95",-0.246611546830929,0.972368996231238,-0.148507001037961,-0.309462495392895,1.15298818655273e-07,0.471542011167925,0.079228860282416
"X96",-0.378872006085097,0.754429091430522,0.0857661377793442,-0.207749687108902,6.13016740390177e-05,0.606068760319862,0.298467068673975
"X97",0.0104372802186787,0.772354867828243,-0.239683335392528,-0.366446386646392,1.60314666057104e-05,0.224921554411344,0.037434796268849
"X98",-0.583823855438715,1.26180513464572,0.210374461800627,-0.231360618082002,5.07395084279846e-14,0.179035448799986,0.120909372377834
"X99",-0.16233237503237,0.899063417462315,-0.359495010010782,-0.187971422293908,1.68088276902105e-06,0.0439541161529539,0.288802759282379
"X100",-0.410763377935556,0.532964745951881,-0.393605472451266,0.613038062285239,0.00431859226695264,0.0361303012085474,0.00116095581191236
"X101",-0.312386454982213,0.436124295472844,0.233721488506652,-0.234254644830782,0.0221240309680281,0.249856022578398,0.260206867297678
"X102",-0.582114024914131,1.26165353444207,0.204950894948412,-0.225695396971919,1.73762328648549e-13,0.193708714093077,0.136592225710338
"X103",-0.78501642167216,1.24536574793775,0.187908903025245,0.166514283833473,4.06219013753529e-12,0.205822920051991,0.305252349126769
"X104",0.438837326733663,0.477936990382641,-0.943012238268716,-0.384605305455939,0.00610812126573424,1.21168404530205e-05,0.0300626931892113
"X105",-0.449929851559478,0.403194174014328,0.561138444475695,-0.0323192910478125,0.0384876456691429,0.00435752560889323,0.86686139754987
"X106",-0.411440825472839,1.19721970819623,0.00810862808029368,-0.335647956222618,1.14197562532294e-12,0.932583193165848,0.0301643476118083
"X107",0.0455527287249198,0.741789655883288,-0.111268674327836,-0.679682633714125,4.22800778997586e-05,0.534513180936364,0.000183365023695394
"X108",-0.546211797725427,1.2542944842297,0.303962590855043,-0.40669284787792,3.7710294204208e-13,0.0524045459529187,0.00863571190842603
"X109",-0.445098300788949,0.903507880633011,0.231485705337654,-0.255025769312403,1.885647942515e-06,0.192086783448264,0.223478890223951
"X110",-0.598432086539895,1.24449532733113,0.202611668484039,-0.197970531143681,9.66285246654675e-14,0.19907483208094,0.187900637977133
"X111",0.470763764311578,-0.259050210018395,-0.233586798257703,-0.441225104577987,0.191055771353583,0.238027208677106,0.0273337479156362
"X112",-0.0667383173597284,0.166582850830758,0.200320877877909,-0.137129462735712,0.41942978406331,0.271836442054782,0.412012819319403
"X113",0.0198123576770713,0.125054351737694,0.112433686976146,-0.193565857883662,0.547425660897776,0.415231036897332,0.267596423573575
"X114",-0.580452414595519,1.12485589745543,0.124801381588962,-0.0590246671383474,8.00619189288802e-10,0.461086831592225,0.716108552551865
"X115",-0.512602144764433,0.851172577542262,0.0728205000067512,0.0232094734491719,1.1003611220681e-05,0.647798579117067,0.820426779822271
"X116",-0.51206463695168,0.816966806702202,0.122720879601865,-0.250817721545085,2.57142289346218e-06,0.493722136591555,0.167750840968898
