Name,Acq. Date-Time,Colonization,Condition,Replicate,Batch,Type,"2,3-Butanediol_1","2,3-Butanediol_2",Pyruvate,2-Pyrrolidinone,Urea_1,2-Ketoisocaproic_acid,L-Valine,Urea_2,Glycerol,Gaba_1,Glycine,1-Monoacetin,Succinate,L-Norleucine,Fumarate,b-Alanine,Malate,5-Oxoproline,Gaba_2,2-Isopropylmalic_acid,2-Hydroxyglutaric_acid,2-Oxoglutaric_acid,3-Hydroxy-3-methylglutaric_acid,Anthranilic_acid,4-Hydroxybenzoic_acid,Isocitric_acid_lactone,Aconitic_acid,Hypoxanthine,Citric_acid,Isocitric_acid_1,Isocitric_acid_2,p-Aminobenzoic_acid,Glucose,Glucose-13C,Pyridoxine,Glucose_oxime,Glucose_oxime-13C,Pantothenic_acid_1,Pantothenic_acid_2,Palmitic_Acid,Kynurenic_Acid,"3,4-Dihydroxyphenylglycol_1","3,4-Dihydroxyphenylglycol_2",Caffeic_acid,Kynurenine_1,Kynurenine_2,L-Tryptophan,Stearic_acid,1-Monopalmitin,"3,4-Dihydroxyphenylglycol_3",Glycerol_monostearate,Terbutaline
1_1,5/25/2022 14:41,Sn,Cit,1,A,Sample,3461,7057,12516,807,10,665,187692,217,2935978,1446,59570,238830,13588,693403,3954,14821,13429,10252,302,16624,31187,513,210,49,477457,16,68987,51,33889760,187181,46,314440,251202,12545,718509,34248,1887,7029,3877134,44089,23,20,,14,,14,,96998,110163,,69225,
1_1b,5/25/2022 15:18,Control,Cit,1,A,Sample,4516,2467,,,100,535,2174,1028,1228610,278,3360,149925,936,536331,1104,19854,184,2019,58,58,,10,342,31,262991,15,461,,28435278,99931,25,217995,4419,42,413482,860,14,8736,2849037,60101,14,102,,12,,10,,99068,101024,,64250,
1_2,7/5/2022 15:16,Sn,Cit,2,B,Sample,4593,3532,3178,485,9,399,37998,168,457630,1783,42216,75504,7557,532498,778,2897,2068,2297,11,2425,4140,84,,,51645,,6384,63,21177735,93177,,43423,48704,256,80419,6944,38,394,466598,48700,,,,21,82,10,17,67050,81464,,52225,
1_2b,7/5/2022 15:53,Control,Cit,2,B,Sample,,1785,,,38,356,644,910,873945,233,1684,61487,494,751611,501,4427,17,278,9,,29,17,47,79,37965,27,72,62,18427107,46526,29,29471,485,25,37220,16,,472,242822,35414,11,,86,9,309,9,,50082,65060,,44368,
1_3,7/6/2022 15:01,Sn,Cit,3,C,Sample,5626,4099,4803,941,,313,1957,,3027237,767,33804,277018,4310,1663699,1264,8711,2928,3977,14,3831,10635,60,20,44,236562,11,19004,32,36842732,251684,,258595,45161,464,333980,7284,119,1619,2390814,145342,,13,,97,341,12,,159361,82166,,54204,
1_3b,7/6/2022 15:38,Control,Cit,3,C,Sample,986,316,279,414,188,573,972,924,1821381,,3061,205935,1037,2044041,1305,22935,161,573,26,15,14,,128,49,273078,15,468,25,45219319,191618,,281591,3044,111,382069,253,29,1139,2813383,184526,17,,83,88,97,26,,195178,91528,,60104,
1_4,5/26/2022 0:59,Sn,Cit,4,A,Sample,3423,3833,2003,457,,776,5118,83,3001927,587,13589,271737,5218,515413,506,8330,2364,3485,21,2590,3732,46,,,239333,,3994,,30624688,130828,,228656,28032,191,231874,4664,34,11620,2462521,56891,,,168,119,58,11,25,82780,62893,,46111,356
1_4b,5/26/2022 1:36,Control,Cit,4,A,Sample,4237,2014,127,530,195,495,666,559,1536751,,1118,142529,567,168086,,8454,38,251,24,,9,13,31,38,56377,15,53,,26740718,93040,363,61839,18694,262,59409,2958,8,3376,605459,46401,,,,26,,,,67959,60306,,39569,
1_5,7/6/2022 1:34,Sn,Cit,5,B,Sample,1928,2532,866,442,14,473,1931,403,1246418,,12153,75046,2563,660520,384,4283,1137,1543,,932,2302,38,43,,41593,25,2421,54,23965590,85647,187,40883,13367,199,57950,2175,,799,341143,53048,14,123,,74,45,10,,76505,82283,380,56480,
1_5b,7/6/2022 2:11,Control,Cit,5,B,Sample,,890,,,67,497,905,1245,527950,106,1403,88139,688,988160,543,6587,83,131,,15,9,,115,19,45664,12,69,28,26279181,74231,,46226,1133,80,59241,163,24,1122,361115,51475,,50,129,9,,21,,71882,81206,,54648,
1_6,7/7/2022 1:36,Sn,Cit,6,C,Sample,853,,660,1341,82,1468,633,361,4612792,,531,377798,8138,2173155,2010,23543,2775,2165,24,1134,1130,28,51,,217826,10,2469,45,49240601,195202,184,235447,22896,166,233938,4199,45,2068,2150175,161230,,,111,160,,,,208933,103100,,69013,
1_6b,7/7/2022 0:47,Control,Cit,6,C,Sample,3326,3866,5208,535,12,604,1897,271,1469021,,37424,211650,8650,1901665,1679,10854,4222,6344,,3705,9935,111,32,29,240117,,24945,,46833943,308665,286,238048,163453,30562820,598422,50843,10535725,2147,2933800,214083,,,77,475,,14,64,233746,108596,,76556,
10_1,5/25/2022 23:33,Sn,Cit_Glc,1,A,Sample,3091,,431,,,448,3752,,91396,317,6712,6755,862,13836,274,391,265,567,13,298,423,12,15,15,5595,17,425,26,4512163,2511,24,3392,44175,2087119,9693,5480,261585,206,27473,43453,,17,48,455,58,,,79533,77935,,53184,
10_1b,5/26/2022 0:10,Control,Cit_Glc,1,A,Sample,1749,1884,,,305,317,1262,1128,1773557,449,1743,215069,721,548929,1233,18922,,693,21,,8,,26,,349235,,167,68,34229172,132432,,327545,28921,22866786,740019,8577,7817774,12751,3692491,72697,11,124,121,232,100,46,,96039,73067,,52882,
10_2,7/6/2022 0:07,Sn,Cit_Glc,2,B,Sample,1956,,3869,439,11,695,50115,261,455049,,38058,59097,15669,517105,1640,3899,3393,1418,12,2259,4064,67,140,,64874,15,5613,,27763431,118644,,56247,138210,17595908,207866,32961,4500002,1005,596430,71850,11,66,,308,,,,86297,109670,61,74484,
10_2b,7/6/2022 0:45,Control,Cit_Glc,2,B,Sample,1126,1380,1969,566,18,604,1114,90,1524872,,23589,71185,3289,426366,1086,5003,1761,1950,18,1876,5041,28,10,40,81917,21,9847,,30154174,170697,37,73398,101838,19404152,270661,26925,5405345,1879,820734,75086,,77,,263,,22,,84973,92040,548,65009,
10_3,7/7/2022 0:10,Sn,Cit_Glc,3,C,Sample,766,712,,,260,495,1175,990,1493010,33,1764,227151,1210,1439415,1595,34027,92,822,111,19,10,,22,,278954,15,507,,57012682,253286,,267774,40584,31996812,784978,12205,11349278,2133,3040141,227967,9,,,797,113,,,261307,153773,,100382,
10_3b,7/7/2022 2:13,Control,Cit_Glc,3,C,Sample,,1783,197,828,337,843,1382,1339,4564089,67,936,364217,732,1627762,384,22830,57,270,21,18,13,,22,95,191813,17,525,52,49755556,209789,,208470,946,662,190496,145,21,1766,1851443,170862,,180,143,103,192,,,217585,109578,,72332,
13_4,5/26/2022 2:13,Sn,Icit,4,A,Sample,4181,7429,5285,,,,1725,354,1891272,708,35601,208978,1374,705157,845,6667,1566,5501,20,6313,13231,146,,11,173007,13869,5652,,979951,10620114,290439,164073,39538,776,216238,5885,122,7016,1787041,58497,10,114,,14,109,,33,84582,67229,,46935,
13_4b,5/26/2022 2:50,Control,Icit,4,A,Sample,4119,1337,,540,384,347,2011,739,2538273,,1764,289455,5869,625081,1059,22536,360,1499,212,,726,46,,,360478,142144,4934,36,162159,17883454,403595,338382,2183,148,569560,292,12,9494,3750810,57490,,,,26,,12,,83860,67655,,47912,
13_5,7/6/2022 2:48,Sn,Icit,5,B,Sample,3543,5768,3877,910,,483,620,,1398752,,41330,150758,1268,832904,838,4970,1019,3588,8,2971,9290,159,17,47,97212,15736,8561,,962223,12092928,262404,102125,20193,223,146220,3225,7,1289,951428,59092,31,77,,9,99,11,,80878,83820,,58733,456
13_5b,7/6/2022 3:25,Control,Icit,5,B,Sample,1071,,,178,75,376,365,951,1006153,,577,109691,1590,462450,729,9210,103,,16,20,165,54,12,9,56618,40041,1006,,6047,11696452,136191,63343,705,17,85749,40,14,1058,487027,55793,,,48,14,,,23,78775,87605,,60723,
13_6,7/7/2022 2:50,Sn,Icit,6,C,Sample,3620,6610,12051,953,11,785,1833,,2870968,,51795,481859,2759,2676942,1993,14251,1977,9788,35,9494,21691,468,5,37,414764,34985,12342,28,1238690,19532763,586090,398345,44130,1296,594531,6269,281,3835,3710864,183399,,,103,,,17,,217862,104553,,71235,468
13_6b,7/7/2022 3:27,Control,Icit,6,C,Sample,,,2047,736,403,590,1229,921,2290997,,681,293151,4495,1656713,1109,21215,223,893,13,11,,69,18,,162778,91263,3281,,18821,18800850,337445,186543,867,23,236839,72,17,3559,1640548,109887,,,74,31,114,19,,130396,71522,,50906,
2_1,5/25/2022 15:56,Sn,Cit_3Hmg,1,A,Sample,,2115,251,,,546,,559,835807,863,39364,34954,1474,52243,294,1092,479,2244,619,2365,1178,,571171,,17556,48,8633,23,7525918,76565,103,7864,13548,607,18025,2363,125,269,113061,30898,,114,33,9,75,,,79800,102132,,86948,358
2_1b,5/25/2022 16:33,Control,Cit_3Hmg,1,A,Sample,3288,2087,,,194,209,816,2865,3932646,,1631,429605,716,341634,791,10237,47,652,25,605,,,11976491,102,384911,,49,32,20065387,54923,,239576,966,22,368300,92,18,9969,2753689,64580,,59,52,,116,,13,90191,87867,435,58768,
2_2,7/5/2022 16:30,Sn,Cit_3Hmg,2,B,Sample,7092,6784,2278,848,13,463,2173,118,2111510,71,130191,219425,4913,925628,702,2774,1978,11493,38,10270,6729,112,1548463,48,176590,104,58451,,21564066,670921,,118305,78784,574,220856,11307,12,1357,1329914,69781,,,59,15,29,,20,81395,89845,366,59907,403
2_2b,7/5/2022 17:07,Control,Cit_3Hmg,2,B,Sample,,993,113,426,64,144,478,590,1445013,192,1082,119478,434,490446,543,7928,34,336,1061,81,10,,7281772,62,80243,10,213,45,26965279,89338,123,52925,492,,73004,87,10,919,407178,53978,13,99,108,12,,13,,72795,82691,,52336,
2_3,7/6/2022 16:15,Sn,Cit_3Hmg,3,C,Sample,5360,4095,3574,442,21,788,1743,153,4471400,,67750,387515,6165,1487325,1132,6274,2350,7835,18,6747,4043,41,9144474,,242925,17,53639,34,37058390,386702,,186837,45075,403,257187,7816,32,1191,1745536,163525,10,,,9,,,23,187671,93597,,62220,
2_3b,7/6/2022 16:52,Control,Cit_3Hmg,3,C,Sample,,1124,257,1122,237,728,572,991,4455595,,2383,383126,592,1368024,1173,18654,26,194,14,219,19,16,13489184,28,217772,,376,34,46506291,196487,,182684,1243,42,215504,230,9,877,1514721,153397,5,100,145,,,,45,185863,97646,,62272,1232
25_4,5/26/2022 3:27,Sn,All,4,A,Sample,87616,150280,26083,2301,13,4567,18885,,2327752,455,8075,348697,1490386,790603,42387,8340,1483422,8552,97,9019,5763,12211,1216314,331681,304748,870,1828,29372,5845135,1686030,10012,50393,40809,488,225428,6804,27,7054,2058064,65202,70441,7680,8494,10799,203,38,,92597,71504,8269,51206,
25_4b,5/26/2022 4:05,Control,All,4,A,Sample,,1254,568467,40077,5906,459,977,11667,2311305,44082,1736,326246,1612510,522917,6959016,14716,2192552,1517,2668279,23,38,27,3763529,75,248428,2012,270,89773,14802462,2200814,7762,46134,1437,26109,196180,173,4397,5718,1782545,62224,1977,4997,6561,686140,9786,75878,168,126168,78365,,52403,
25_5,7/6/2022 4:02,Sn,All,5,B,Sample,125783,173797,14595,2165,29,3819,16928,333,3580117,,5648,346094,1055973,1503437,25927,4983,1069340,12287,173,8740,4380,5730,829058,239473,301021,531,1491,48143,4472585,1468936,7778,46965,50473,654,283086,7973,51,2510,1944118,67540,143254,6571,7886,11040,82,9,387,86122,91553,8660,62381,3268
25_5b,7/6/2022 4:39,Control,All,5,B,Sample,1402,,874064,35309,4142,524,823,14082,2147507,38963,1251,214287,1335944,1022124,5528330,13393,2049636,355,2477301,72,75,33,2829069,109,139845,2015,118,18101,15337518,2235827,7271,31071,3731,13,133995,476,,1982,918166,63929,230,4617,5262,335644,10719,67600,107,115341,108706,,68110,
25_6,7/7/2022 4:04,Sn,All,6,C,Sample,267452,345175,67079,4734,22,8565,86421,333,7432383,,33901,788522,3944649,2745773,80520,18693,2514480,19382,611,15191,7500,31827,2723398,677346,694463,1312,7120,82382,13644880,3169889,19610,116943,36500,265,698093,6570,17,3647,4699513,176997,396641,14697,16555,26009,,39,4017,222377,107933,14597,73296,5978
25_6b,7/7/2022 4:41,Control,All,6,C,Sample,,,1445360,83052,7817,506,1077,24450,5543861,93091,735,628115,2615549,2038433,11171184,26612,3712563,1215,4560868,123,,24,5902449,,416468,2904,310,97864,22266008,3794393,13619,74930,967,40,369008,215,26,3449,3041601,173033,1580,9146,11666,1200516,20422,215002,,316486,121659,,78929,
3_1,5/25/2022 17:10,Sn,Cit_Gaba,1,A,Sample,4474,2965,4763,10863,16,91,1482,263,924758,7849,126347,65814,2509,108405,596,4261,1688,3626,658744,2837,1913,8,207,15,29120,10,13435,37,14460432,99909,86,24452,26542,184,45764,4203,20,1328,288489,55070,,39,17,11,,12,,93533,79874,,55986,
3_1b,5/25/2022 17:47,Control,Cit_Gaba,1,A,Sample,1115,2374,,154384,281,440,1260,968,2933306,165637,3853,342045,957,642900,4253,17668,130,822,8992286,,71,39,74,,313372,27,816,,32773563,136996,47,263986,4327,68,384350,796,34,9095,2799490,69516,11,,,,,13,,102459,87399,414,58216,
3_2,7/5/2022 17:44,Sn,Cit_Gaba,2,B,Sample,12784,7689,6862,37429,9,607,2330,,2091963,40793,187895,160410,9046,710864,838,7660,3149,6106,2673497,6047,4583,,34,26,108705,15,49196,57,27306027,204993,199,95083,65636,488,152142,9936,29,1363,945689,68433,,,50,5,102,14,,94653,97794,,67121,401
3_2b,7/5/2022 18:21,Control,Cit_Gaba,2,B,Sample,,,,71529,15,442,622,1135,2198474,99524,211,122270,820,503721,1802,7204,27,,4860811,16,,,35,42,50086,11,32,28,24852605,76703,307,42231,593,370,58261,138,25,926,322616,48568,11,140,43,15,,25,,68793,80249,,51129,
3_3,7/6/2022 17:46,Sn,Cit_Gaba,3,C,Sample,7331,5618,7182,128018,16,500,2885,389,5553224,162490,167561,426797,13030,1625425,1698,19015,3381,8027,7276264,6039,4002,145,41,85,245935,17,58152,,43545444,248190,,238909,52186,404,355603,8108,61,2233,2279705,165803,14,,41,,54,36,68,197710,100516,,67644,
3_3b,7/6/2022 18:24,Control,Cit_Gaba,3,C,Sample,697,,139,307268,221,641,909,1181,3771785,863171,,385574,598,1574067,5167,19574,,297,11342988,11,16,5,131,,170106,,258,64,46867729,195846,251,174456,1267,20,208370,227,13,1003,1487559,152914,10,,,164,135,10,28,184641,97528,,64091,
4_1,5/25/2022 18:24,Sn,Cit_Hypox,1,A,Sample,3491,2013,871,1083,24,307,6529,144,439207,169,10071,38792,2814,45104,741,2039,1765,297,30,977,1440,15,24,37,19682,13,1416,439674,14558821,,53,17804,15745,2414,25827,2596,261,305,128273,50609,,,,21,89,12,,87274,72608,,49434,
4_1b,5/25/2022 19:01,Control,Cit_Hypox,1,A,Sample,3518,2354,,296,239,420,1001,2061,3003997,84,1791,164231,681,492061,2176,9486,27,713,275,13,,,,19,220086,,109,5328461,17848514,46118,72,214679,3717,51,299412,772,,7286,2384284,57741,,,,,,,44,93732,72517,78,49344,
4_2,7/5/2022 18:59,Sn,Cit_Hypox,2,B,Sample,5173,3000,3635,338,19,788,39220,187,1611061,,25519,123758,10288,372670,1192,2810,2322,2381,61,2692,6334,22,24,55,55519,,6649,2758480,25159985,111812,74,69867,41922,288,93713,6438,15,696,453695,52249,11,23,94,,,13,48,72329,82043,528,52945,
4_2b,7/5/2022 19:36,Control,Cit_Hypox,2,B,Sample,758,1099,66,555,92,279,651,734,2667050,224,663,156063,504,506204,1568,8192,14,227,84,16,,11,80,15,65855,18,53,3054994,28987154,98588,,85129,509,53,84798,26,,1223,544304,52909,13,,,,,13,15,77875,84661,,56664,
4_3,7/6/2022 19:01,Sn,Cit_Hypox,3,C,Sample,3348,2029,5751,,10,677,10164,64,5725615,,28103,370254,13954,2099236,2461,9292,3487,6031,44,5742,19245,395,56,13,319821,23,29921,5597710,40137410,143434,281,351803,55992,375,509612,8660,24,2600,3243489,177303,18,42,127,27,14,15,,203167,98612,,66324,869
4_3b,7/6/2022 19:38,Control,Cit_Hypox,3,C,Sample,,1051,,636,319,407,1516,3009,7896156,,1129,729141,404,2419057,4834,24944,,880,287,,,,175,26,578897,13,74,5933522,44414867,177001,,636874,1399,,882062,115,,4423,5515268,191999,21,,60,14,152,16,,217301,102733,,64488,
5_1,5/25/2022 19:50,Sn,Cit_Urea,1,A,Sample,4396,4230,6025,668,1768,1310,27233,5519,4434763,,37449,327092,8910,545055,1914,9582,8613,7151,9,6297,12115,168,3416,,358637,8,15205,454,36318542,183729,141,331511,191345,1450,598494,24344,238,15232,3618154,61349,12,64,,15,,11,18,94922,71067,,50425,
5_1b,5/25/2022 20:27,Control,Cit_Urea,1,A,Sample,4021,1219,,,38278,383,817,729619,2001369,165,1123,149162,490,197771,1188,5407,18,610,21,11,24,,22,62,84244,18,41,,16458354,41470,,79001,339,27,88514,19,15,2259,874956,50574,,,300,,70,15,,80289,66645,362,45484,
5_2,7/5/2022 20:25,Sn,Cit_Urea,2,B,Sample,,3807,1732,,241,364,1267,834,2398926,617,22867,138383,3592,571135,829,3037,1999,1543,9,1789,3454,57,22,,58841,,4807,239,23144060,94067,116,55964,38363,388,79212,5720,34,1043,443162,48039,,91,70,,,,,65182,72391,226,46534,
5_2b,7/5/2022 21:02,Control,Cit_Urea,2,B,Sample,1009,740,,,44505,492,566,396052,2128438,61,417,149949,552,455932,1514,8924,57,182,88,9,9,,20,8,64101,6,,67,30056703,106705,,67320,985,12,85210,105,19,1167,516298,48009,,,,15,52,,,68111,75536,,51554,
5_3,7/6/2022 20:27,Sn,Cit_Urea,3,C,Sample,2999,5452,4265,826,6321,636,2670,36331,6793646,,25366,512734,8879,2850775,2324,15581,3702,9068,23,6938,13256,68,,,645548,11,23107,323,46040648,135602,284,603075,84285,615,1088420,13158,15,4676,5738372,190815,,132,118,138,190,13,,211834,98788,,65821,
5_3b,7/6/2022 21:04,Control,Cit_Urea,3,C,Sample,,911,350,692,107578,745,1303,772192,6494242,,2157,576967,1157,1723936,4476,29953,81,470,298,18,9,10,12,121,331015,14,735,27,58788328,260204,,380558,1920,,496838,309,21,1829,3307574,165967,15,59,403,13,,11,44,194744,100082,,68105,
6_1,5/25/2022 21:04,Sn,Cit_Kyn,1,A,Sample,8952,8321,16588,379,8,634,16723,203,1963134,1508,48235,231454,6485,250629,1062,4499,3499,2958,13,4153,5707,43,15,211566,168077,11,14229,179,23588156,112588,,142623,60540,391,174190,9266,68,4576,1246996,54998,79066,39,,,43595,2323049,24265,150774,73350,,48323,
6_1b,5/25/2022 21:41,Control,Cit_Kyn,1,A,Sample,3313,2034,,343,143,453,642,1174,2016438,234,1542,144087,464,136661,613,7110,19,318,9,17,,,13,,73530,,46,89,22394234,71417,,74243,599,532,86556,78,14,3443,761811,49519,392,,53,12,20922,1311769,,126474,64137,,44933,181
6_2,7/5/2022 21:39,Sn,Cit_Kyn,2,B,Sample,16103,12532,11624,419,19,692,9506,138,2291716,2250,79386,353024,9156,953854,1163,4034,3066,5287,12,4888,7283,47,11,410159,262109,,16379,56,26472156,156424,95,219749,58375,457,264135,8625,29,2243,1663933,59812,286549,,,11,83772,3222135,47841,158180,97794,,58122,530
6_2b,7/5/2022 22:16,Control,Cit_Kyn,2,B,Sample,,622,100,,401,595,552,1212,3254905,83,910,233492,815,706120,982,12770,47,,38,,,,58,56,143715,,88,17,34579880,133650,,165185,590,14,166793,163,,2803,1084857,59772,1959,,80,20,47024,3230373,153,151094,98001,,60357,
6_3,7/6/2022 21:41,Sn,Cit_Kyn,3,C,Sample,14637,8593,17025,744,14,221,3812,,6027409,,67412,712966,8562,1856344,1693,10760,3153,10369,73,5775,11086,45,,809930,532615,19,39422,190,39052950,303470,,463495,52654,437,575301,9304,13,2973,3658846,185001,839071,117,30,12,146609,6462596,116649,423179,125923,,73473,
6_3b,7/6/2022 22:18,Control,Cit_Kyn,3,C,Sample,,,,751,521,688,1134,1854,6191908,,1775,534074,708,1991755,1572,30073,99,552,286,,12,29,127,144,290855,17,315,,54115543,239845,,338945,1515,20,406362,291,8,2006,2738498,197177,3190,,196,12,117817,5731601,,431182,124283,,81157,
9_1,5/25/2022 22:19,Sn,Cit_Caf,1,A,Sample,1948,2000,,,399,360,3622,1134,3194404,270,2736,444034,4831,509511,3503,20707,14855,907,225,31,35,12,22,,314515,10,509,329,43224986,190029,747,30177,166613,1975,492470,21597,289,8854,2981060,67342,353,104048,129418,22144572,321,100,,130634,74516,,52467,21118
9_1b,5/25/2022 22:56,Control,Cit_Caf,1,A,Sample,4852,1287,123,216,360,50,1197,1498,2577602,114,2832,409783,1596,490851,3021,19739,,842,274,,,,15,7,274623,12,121,67,37782571,156884,,16081,1292,215,317518,168,18,6131,2675212,71327,123,282050,421931,20221367,,,,145544,100635,,71304,3940
9_2,7/5/2022 22:53,Sn,Cit_Caf,2,B,Sample,3975,2394,203,566,320,486,2634,1219,2325076,,3057,348719,2895,1199345,2518,14036,8140,547,111,43,24,12,36,25,182192,7,564,70,39862547,159262,107,15091,92264,1259,393650,13261,68,2717,1862252,68581,1267,46021,51421,20430184,,47,28,123858,103227,213,67475,20263
9_2b,7/5/2022 23:30,Control,Cit_Caf,2,B,Sample,,,318,479,418,621,1515,1347,2385056,162,2690,317538,2020,1280126,3715,16173,4820,97,148,20,12,6,6,6,163973,22,105,32,39905813,158075,,8289,36541,392,284721,5873,,2866,1634042,71832,,120350,159552,18097757,,,10,122526,119957,,79475,5506
9_3,7/6/2022 22:55,Sn,Cit_Caf,3,C,Sample,857,1537,241,1317,808,752,1802,2462,6192259,51,2351,907861,2869,2418408,6596,43315,344,797,564,11,,10,45,113,562643,9,606,111,59143477,283498,,15623,5822,429,860469,727,32,4146,5414116,210746,4346,904567,1499227,30663903,,59,,345927,126344,,77819,4116
9_3b,7/6/2022 23:33,Control,Cit_Caf,3,C,Sample,1188,1004,,1161,640,795,2421,1806,6140380,,4734,673793,3210,2244282,7372,32770,10312,1004,253,12,,9,25,23,379929,13,878,61,57610308,254610,,13940,83997,672,648192,12462,82,1709,3661718,190781,1417,276648,391924,26709904,,80,,315358,165726,,104846,8814
PBS_Blank,7/6/2022 5:16,Blank,Blank,2,B,Blank,836,1235,189,137,15,485,418,448,3735,47,405,141,495,134,354,,71,132,13,12,,,10,,,11,,26,1167,70,12,22,186,20,35,,,,,31894,,69,,11,165,,11,59727,76830,,52751,
Reagent_blank,5/26/2022 5:56,Blank,Blank,1,A,Blank,3580,1212,58,,16,451,67,74,1763,,636,10,175,102,144,9,17,79,10,8,24,,8,13,,11,,11,401,13,12,,23,12,,,,,,27190,,40,30,26,22,,21,53523,51754,,36076,
Reagent_blank,7/6/2022 5:53,Blank,Blank,2,B,Blank,3388,2092,157,405,14,480,349,,,119,310,52,231,,204,34,14,130,30,9,30,,12,27,36,13,,40,689,14,14,96,119,7,43,19,,,20,30512,,65,,,38,,,54117,69574,333,48367,
T1,7/7/2022 5:18,Sn,T1,6,C,Sample,171966,224365,58599,3939,29,6734,37207,171,5825659,209,31708,593021,2913362,2588182,59785,14910,1924590,14326,497,10493,5511,21075,1860790,452920,467822,853,5310,35580,10948779,2389949,13331,78057,27898,302,406325,5231,42,2769,3038377,177073,139347,10372,11189,17868,,42,1974,224818,112565,10263,76839,4620
T1b,7/7/2022 5:56,Control,T1,6,C,Sample,1172,,1743107,96137,6654,818,987,29713,5331098,207860,978,552852,2468918,2049784,10528093,24303,3598670,494,4236161,,139,81,5405643,44,346497,3369,593,92705,21741022,3640124,12112,69211,1269,,315393,274,17,2447,2449901,169149,2930,7548,9896,955274,20703,214603,249,312700,121912,209,76141,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
